case,model,exit,iters,walltime_s,p_res,U_res,Cd,Cl,U_cl,converged,note,p_res_final,conv_state
hills,nnTBNN-med,0,1647,129.27,0.26196115,0.041164789,NA,NA,1.910568e+00,0,,2.6155e-01,STALL
hills_re10595,fusedGEP,0,1319,31.86,0.00082629418,7.5068511e-05,NA,NA,1.234762e+00,0,,8.6012e-04,conv
hills_re10595,nnTBNN-large,0,433,29.74,0.15951144,0.095366854,NA,NA,1.522817e+00,0,,1.5951e-01,stall?
hills_re10595,nnTBRF-10t,0,1689,31.71,0.15361449,0.086178366,NA,NA,1.509097e+00,0,,1.5369e-01,stall?
hills_re10595,nnTBRF-5t,0,1282,29.69,0.15344778,0.085937446,NA,NA,1.615750e+00,0,,1.5309e-01,stall?
hills_re2800,fusedMixingLength,0,2482,30.96,5.6776392e-05,4.8712829e-06,NA,NA,1.269810e+00,0,,6.1274e-05,conv
hills_re2800,nnMLP-small,0,427,29.43,0.42483867,0.00080052855,NA,NA,1.199086e+00,0,,4.2595e-01,STALL
hills_re2800,nnTBNN-large,0,1229,29.72,0.39020626,0.011826052,NA,NA,1.775087e+00,0,,3.8981e-01,STALL
hills_re2800,nnTBRF-5t,0,1663,30.03,0.26437374,0.0080689227,NA,NA,1.566080e+00,0,,2.6362e-01,STALL
hills_re5600,fusedGEP,0,2555,30.87,0.0056167535,0.00033403076,NA,NA,1.450955e+00,0,,5.2913e-03,slow
hills_re5600,fusedMixingLength,0,1382,31.12,0.00061141285,4.9489648e-05,NA,NA,1.232677e+00,0,,7.0599e-04,conv
hills_re5600,nnTBNN-large,0,521,31.37,0.15947548,0.075540318,NA,NA,1.900601e+00,0,,1.5905e-01,stall?
